"id","name","screen_name","url","icon","cate"
"66780587","Amazon Web Services","awscloud","https://twitter.com/awscloud","https://pbs.twimg.com/profile_images/1641476962362302464/K8lb6OtN_normal.jpg","companies"
"67418441","Disney","Disney","https://twitter.com/Disney","https://pbs.twimg.com/profile_images/1624815535505522695/mhZM0n62_normal.png","companies"
"71026122","McDonald's","McDonalds","https://twitter.com/McDonalds","https://pbs.twimg.com/profile_images/1678414062441381888/K1V_1xZb_normal.png","companies"
"73778438","Robbie Ferguson 🅧 | Immutable","0xferg","https://twitter.com/0xferg","https://pbs.twimg.com/profile_images/1613420449035358210/nu1qSahI_normal.jpg","coins-teams-important"
"74286565","Microsoft","Microsoft","https://twitter.com/Microsoft","https://pbs.twimg.com/profile_images/1645587399479808001/SSEsTaqu_normal.jpg","companies"
"74466455","Pornhub","Pornhub","https://twitter.com/Pornhub","https://pbs.twimg.com/profile_images/1623327656132464640/3v8WNIxC_normal.jpg","companies"
"93662168","Josh Neuroth","joshneuroth","https://twitter.com/joshneuroth","https://pbs.twimg.com/profile_images/1506409506078699529/mP4HvH2w_normal.jpg","coins-teams-important"
"95731075","Twitter Safety","TwitterSafety","https://twitter.com/TwitterSafety","https://pbs.twimg.com/profile_images/1356366102528315394/UHUFLIPh_normal.jpg","companies"
"96879107","Pokémon","Pokemon","https://twitter.com/Pokemon","https://pbs.twimg.com/profile_images/1669126381857562624/ExybRrCn_normal.jpg","companies"
"98047213","Huawei","Huawei","https://twitter.com/Huawei","https://pbs.twimg.com/profile_images/1570731236171329537/6Muib5Hc_normal.jpg","companies"
"108172903","banteg","bantg","https://twitter.com/bantg","https://pbs.twimg.com/profile_images/1406018339835678720/fLQOnMbp_normal.jpg","coins-teams-important"
"108247668","Scuderia Ferrari","ScuderiaFerrari","https://twitter.com/ScuderiaFerrari","https://pbs.twimg.com/profile_images/947659786555940865/P5eYYYIx_normal.jpg","companies"
"111533746","Wu Blockchain","WuBlockchain","https://twitter.com/WuBlockchain","https://pbs.twimg.com/profile_images/1343054286935093249/6FYHByvl_normal.jpg","wublockchain"
"119060937","Syscoin","syscoin","https://twitter.com/syscoin","https://pbs.twimg.com/profile_images/1468760229181415424/xDiIFaKO_normal.jpg","spot-coins"
"121258930","Epic Games Store","EpicGames","https://twitter.com/EpicGames","https://pbs.twimg.com/profile_images/1669378386177978369/puZdxzR7_normal.jpg","companies"
"121291606","Twitter Business","TwitterBusiness","https://twitter.com/TwitterBusiness","https://pbs.twimg.com/profile_images/1354497462472302592/PcS7kow1_normal.jpg","companies"
"162378259","かぼすママ","kabosumama","https://twitter.com/kabosumama","https://pbs.twimg.com/profile_images/1390994344656601093/EGVCFlhx_normal.jpg","kabosu"
"163723677","Meta Newsroom","MetaNewsroom","https://twitter.com/MetaNewsroom","https://pbs.twimg.com/profile_images/1455242126275526659/zNCAAELg_normal.png","companies"
"180505807","Instagram","instagram","https://twitter.com/instagram","https://pbs.twimg.com/profile_images/1526231349354303489/3Bg-2ZsT_normal.jpg","companies"
"186222238","Amazon Studios","AmazonStudios","https://twitter.com/AmazonStudios","https://pbs.twimg.com/profile_images/1188927971727294464/kZhLNwVZ_normal.jpg","companies"
"206662545","YoniAssia.eth","yoniassia","https://twitter.com/yoniassia","https://pbs.twimg.com/profile_images/1637486642834427905/J-zkWkhp_normal.jpg","companies"
"209004862","Amazon.co.uk","AmazonUK","https://twitter.com/AmazonUK","https://pbs.twimg.com/profile_images/1575519002205556739/K822Gyg8_normal.jpg","companies"
"218984871","Twitter Global Government Affairs","GlobalAffairs","https://twitter.com/GlobalAffairs","https://pbs.twimg.com/profile_images/1354490367823859713/QSpAvjQv_normal.jpg","companies"
"234489024","Twitter Comms","TwitterComms","https://twitter.com/TwitterComms","https://pbs.twimg.com/profile_images/1354481238233337856/-mUgc3Pc_normal.jpg","companies"
"239760107","YouTube Creators","YouTubeCreators","https://twitter.com/YouTubeCreators","https://pbs.twimg.com/profile_images/1415106105257074689/n0Po2BAS_normal.jpg","companies"
"244647486","Michael Saylor⚡️","saylor","https://twitter.com/saylor","https://pbs.twimg.com/profile_images/1485632175932383235/8t0DGo6V_normal.jpg","companies"
"245130690","Josh Gerben","JoshGerben","https://twitter.com/JoshGerben","https://pbs.twimg.com/profile_images/1080550204766674944/jn0MFXjr_normal.jpg","crypto-news"
"290097288","Call of Duty","CallofDuty","https://twitter.com/CallofDuty","https://pbs.twimg.com/profile_images/1669029786780598272/L6kr4ldh_normal.jpg","companies"
"292132128","Compound Labs","compoundfinance","https://twitter.com/compoundfinance","https://pbs.twimg.com/profile_images/1674096990257561601/-rso6Y7C_normal.jpg","coins"
"295218901","vitalik.eth","VitalikButerin","https://twitter.com/VitalikButerin","https://pbs.twimg.com/profile_images/977496875887558661/L86xyLF4_normal.jpg","vitalik"
"309285803","VisaNews","VisaNews","https://twitter.com/VisaNews","https://pbs.twimg.com/profile_images/1430666326163394564/YiXb2aDn_normal.png","companies"
"309366491","Twitch","Twitch","https://twitter.com/Twitch","https://pbs.twimg.com/profile_images/1666212829995876359/hcfD6la0_normal.jpg","companies"
"331908924","Blizzard Entertainment","Blizzard_Ent","https://twitter.com/Blizzard_Ent","https://pbs.twimg.com/profile_images/1616595618532851712/yJxch263_normal.jpg","companies"
"345738416","Storj","storj","https://twitter.com/storj","https://pbs.twimg.com/profile_images/1410673783032139776/gLxtcko7_normal.jpg","coins"
"347831597","The Sandbox","TheSandboxGame","https://twitter.com/TheSandboxGame","https://pbs.twimg.com/profile_images/1675843993190506496/HeGzewKw_normal.jpg","coins"
"357317524","Do Kwon 🌕","stablekwon","https://twitter.com/stablekwon","https://pbs.twimg.com/profile_images/1601204775957118976/rx_aJtAo_normal.jpg","do-klown"
"357750891","Twitter Marketing","TwitterMktg","https://twitter.com/TwitterMktg","https://pbs.twimg.com/profile_images/1628811028388610048/C8AyxJiB_normal.jpg","companies"
"376825877","Twitter Open Source","TwitterOSS","https://twitter.com/TwitterOSS","https://pbs.twimg.com/profile_images/1354494857138458625/fhX_rEBX_normal.jpg","companies"
"380749300","Apple","Apple","https://twitter.com/Apple","https://pbs.twimg.com/profile_images/1283958620359516160/p7zz5dxZ_normal.jpg","companies"
"396045469","Barry Silbert","BarrySilbert","https://twitter.com/BarrySilbert","https://pbs.twimg.com/profile_images/1513121772685742085/fKathj7p_normal.jpg","barry-silbert"
"425871040","Fortnite","FortniteGame","https://twitter.com/FortniteGame","https://pbs.twimg.com/profile_images/1666882642493734912/-eqduqyd_normal.jpg","companies"
"431417121","Viberate","viberate","https://twitter.com/viberate","https://pbs.twimg.com/profile_images/1291653898785218561/X35k-Wu2_normal.jpg","spot-coins"
"548263294","Linda Yaccarino","lindayacc","https://twitter.com/lindayacc","https://pbs.twimg.com/profile_images/1659561668945354755/c5dthMBt_normal.jpg","companies"
"551373363","Visa","Visa","https://twitter.com/Visa","https://pbs.twimg.com/profile_images/1417834595899232256/YzltM_gk_normal.png","companies"
"574032254","Coinbase 🛡️","coinbase","https://twitter.com/coinbase","https://pbs.twimg.com/profile_images/1484586799921909764/A9yYenz3_normal.png","exchanges"
"577401044","League of Legends","LeagueOfLegends","https://twitter.com/LeagueOfLegends","https://pbs.twimg.com/profile_images/1675150067513147393/5uGYtZmq_normal.jpg","companies"
"580020269","Katie Buehler","bykatiebuehler","https://twitter.com/bykatiebuehler","https://pbs.twimg.com/profile_images/1643982812209647623/MksvlChb_normal.jpg","crypto-news"
"588782112","Square Enix","SquareEnix","https://twitter.com/SquareEnix","https://pbs.twimg.com/profile_images/1678849945816944640/6E8ArQU6_normal.jpg","companies"
"612782611","Activision","Activision","https://twitter.com/Activision","https://pbs.twimg.com/profile_images/1645445554258735104/A2geO7qj_normal.jpg","companies"
"625298957","Tinder","Tinder","https://twitter.com/Tinder","https://pbs.twimg.com/profile_images/1407789460335382531/hWIzi8ny_normal.jpg","companies"
"732077598","Amazon Games","amazongames","https://twitter.com/amazongames","https://pbs.twimg.com/profile_images/1542913048926556162/ptySop9e_normal.jpg","companies"
"905395394","Andre Cronje","AndreCronjeTech","https://twitter.com/AndreCronjeTech","https://pbs.twimg.com/profile_images/1590573382734692352/Y_tzJcdY_normal.jpg","coins-teams-important"
"946147015","Hugh Son","Hugh_Son","https://twitter.com/Hugh_Son","https://pbs.twimg.com/profile_images/1641444772639543296/xpoJitpo_normal.jpg","crypto-news"
"1051053836","Ripple","Ripple","https://twitter.com/Ripple","https://pbs.twimg.com/profile_images/1546617859425456128/pNaQPiX2_normal.jpg","coins"
"1141081634","Microsoft Edge Dev","MSEdgeDev","https://twitter.com/MSEdgeDev","https://pbs.twimg.com/profile_images/1316097635476926464/g9Uuc8GS_normal.png","companies"
"1142606887","Sasha.waves","sasha35625","https://twitter.com/sasha35625","https://pbs.twimg.com/profile_images/1597603967051218945/6gNWWHgu_normal.png","coins-teams-important"
"1265037073","Robinhood","RobinhoodApp","https://twitter.com/RobinhoodApp","https://pbs.twimg.com/profile_images/1267616128022351873/dZJpsWTD_normal.jpg","companies"
"1290247555","James K. Filan 🇺🇸🇮🇪","FilanLaw","https://twitter.com/FilanLaw","https://pbs.twimg.com/profile_images/1578822437118033927/XFsMVQMS_normal.jpg","xrp-sec"
"1333467482","CoinDesk","CoinDesk","https://twitter.com/CoinDesk","https://pbs.twimg.com/profile_images/1430879040156667904/NlbJjd-l_normal.png","news-outlets-twitter"
